"location","mortalityRate","state","county"
"Martin County, Kentucky",-29.64,"21","159"
"Mason County, Kentucky",-41.5,"21","161"
"McCracken County, Kentucky",-36.23,"21","145"
"McCreary County, Kentucky",-43.95,"21","147"
"McLean County, Kentucky",-44.02,"21","149"
"Meade County, Kentucky",-49.85,"21","163"
"Menifee County, Kentucky",-39.15,"21","165"
"Mercer County, Kentucky",-38.9,"21","167"
"Metcalfe County, Kentucky",-36.58,"21","169"
"Monroe County, Kentucky",-24.7,"21","171"
"Montgomery County, Kentucky",-34.32,"21","173"
"Morgan County, Kentucky",-46.09,"21","175"
"Muhlenberg County, Kentucky",-40.67,"21","177"
"Nelson County, Kentucky",-45.33,"21","179"
"Nicholas County, Kentucky",-21.6,"21","181"
"Ohio County, Kentucky",-41.61,"21","183"
"Oldham County, Kentucky",-54.55,"21","185"
"Owen County, Kentucky",-43.32,"21","187"
"Owsley County, Kentucky",0.61,"21","189"
"Pendleton County, Kentucky",-42.96,"21","191"
"Perry County, Kentucky",-13.37,"21","193"
"Pike County, Kentucky",-37.22,"21","195"
"Powell County, Kentucky",-15.61,"21","197"
"Pulaski County, Kentucky",-38.09,"21","199"
"Robertson County, Kentucky",-28.78,"21","201"
"Rockcastle County, Kentucky",-23.99,"21","203"
"Rowan County, Kentucky",-39.1,"21","205"
"Russell County, Kentucky",-33.9,"21","207"
"Scott County, Kentucky",-43.56,"21","209"
"Shelby County, Kentucky",-45.9,"21","211"
"Simpson County, Kentucky",-35.35,"21","213"
"Spencer County, Kentucky",-47.78,"21","215"
"Taylor County, Kentucky",-37.02,"21","217"
"Todd County, Kentucky",-38.2,"21","219"
"Trigg County, Kentucky",-42.72,"21","221"
"Trimble County, Kentucky",-42.15,"21","223"
"Union County, Kentucky",-44.46,"21","225"
"Warren County, Kentucky",-45.45,"21","227"
"Washington County, Kentucky",-47.58,"21","229"
"Wayne County, Kentucky",-36.57,"21","231"
"Webster County, Kentucky",-38.66,"21","233"
"Whitley County, Kentucky",-22.31,"21","235"
"Wolfe County, Kentucky",-23.59,"21","237"
"Woodford County, Kentucky",-48.12,"21","239"
"Acadia Parish, Louisiana",-36.13,"22","001"
"Allen Parish, Louisiana",-59.52,"22","003"
"Ascension Parish, Louisiana",-46.43,"22","005"
"Assumption Parish, Louisiana",-46.68,"22","007"
"Avoyelles Parish, Louisiana",-32.86,"22","009"
"Beauregard Parish, Louisiana",-34.94,"22","011"
"Bienville Parish, Louisiana",-36.62,"22","013"
"Bossier Parish, Louisiana",-49.06,"22","015"
"Caddo Parish, Louisiana",-49.12,"22","017"
"Calcasieu Parish, Louisiana",-30.1,"22","019"
"Caldwell Parish, Louisiana",-32.65,"22","021"
"Cameron Parish, Louisiana",-42.65,"22","023"
"Catahoula Parish, Louisiana",-22.7,"22","025"
"Claiborne Parish, Louisiana",-33.7,"22","027"
"Concordia Parish, Louisiana",-41.06,"22","029"
"De Soto Parish, Louisiana",-39.34,"22","031"
"East Baton Rouge Parish, Louisiana",-44.41,"22","033"
"East Carroll Parish, Louisiana",-40.98,"22","035"
"East Feliciana Parish, Louisiana",-24.29,"22","037"
"Evangeline Parish, Louisiana",-42.19,"22","039"
"Franklin Parish, Louisiana",-1.85,"22","041"
"Grant Parish, Louisiana",-40.58,"22","043"
"Iberia Parish, Louisiana",-38.7,"22","045"
"Iberville Parish, Louisiana",-53.45,"22","047"
"Jackson Parish, Louisiana",-38.33,"22","049"
"Jefferson Davis Parish, Louisiana",-29.88,"22","053"
"Jefferson Parish, Louisiana",-50.12,"22","051"
"LaSalle Parish, Louisiana",-37.47,"22","059"
"Lafayette Parish, Louisiana",-40.6,"22","055"
"Lafourche Parish, Louisiana",-46.14,"22","057"
"Lincoln Parish, Louisiana",-58.75,"22","061"
"Livingston Parish, Louisiana",-38.54,"22","063"
"Madison Parish, Louisiana",-21.31,"22","065"
"Morehouse Parish, Louisiana",-27.76,"22","067"
"Natchitoches Parish, Louisiana",-45.23,"22","069"
"Orleans Parish, Louisiana",-52.42,"22","071"
"Ouachita Parish, Louisiana",-48.84,"22","073"
"Plaquemines Parish, Louisiana",-54.44,"22","075"
"Pointe Coupee Parish, Louisiana",-40.73,"22","077"
"Rapides Parish, Louisiana",-39.97,"22","079"
"Red River Parish, Louisiana",-41.62,"22","081"
"Richland Parish, Louisiana",-31.08,"22","083"
"Sabine Parish, Louisiana",-31.82,"22","085"
"Saint Bernard Parish, Louisiana",-46.69,"22","087"
"Saint Charles Parish, Louisiana",-46.84,"22","089"
"Saint Helena Parish, Louisiana",-36.83,"22","091"
"Saint James Parish, Louisiana",-48.49,"22","093"
"Saint John the Baptist Parish, Louisiana",-34.62,"22","095"
"Saint Landry Parish, Louisiana",-40.51,"22","097"
"Saint Martin Parish, Louisiana",-42.99,"22","099"
"Saint Mary Parish, Louisiana",-48.91,"22","101"
"Saint Tammany Parish, Louisiana",-52.24,"22","103"
"Tangipahoa Parish, Louisiana",-47.15,"22","105"
"Tensas Parish, Louisiana",-37.75,"22","107"
"Terrebonne Parish, Louisiana",-42.71,"22","109"
"Union Parish, Louisiana",-42.54,"22","111"
"Vermilion Parish, Louisiana",-28.93,"22","113"
"Vernon Parish, Louisiana",-41.5,"22","115"
"Washington Parish, Louisiana",-41.73,"22","117"
"Webster Parish, Louisiana",-37.63,"22","119"
"West Baton Rouge Parish, Louisiana",-56.02,"22","121"
"West Carroll Parish, Louisiana",-36.38,"22","123"
"West Feliciana Parish, Louisiana",-44.6,"22","125"
"Winn Parish, Louisiana",-40.74,"22","127"
"Androscoggin County, Maine",-52.74,"23","001"
"Aroostook County, Maine",-50.04,"23","003"
"Cumberland County, Maine",-60.25,"23","005"
"Franklin County, Maine",-49.79,"23","007"
"Hancock County, Maine",-47.71,"23","009"
"Kennebec County, Maine",-51.23,"23","011"
"Knox County, Maine",-50.33,"23","013"
"Lincoln County, Maine",-52.04,"23","015"
"Oxford County, Maine",-58.75,"23","017"
"Penobscot County, Maine",-48.3,"23","019"
"Piscataquis County, Maine",-48.43,"23","021"
"Sagadahoc County, Maine",-56.2,"23","023"
"Somerset County, Maine",-50.62,"23","025"
"Waldo County, Maine",-52.57,"23","027"
"Washington County, Maine",-50.76,"23","029"
"York County, Maine",-58.37,"23","031"
"Allegany County, Maryland",-41.36,"24","001"
"Anne Arundel County, Maryland",-49.1,"24","003"
"Baltimore City, Maryland",-34.35,"24","510"
"Baltimore County, Maryland",-48.06,"24","005"
"Calvert County, Maryland",-50.14,"24","009"
"Caroline County, Maryland",-46.47,"24","011"
"Carroll County, Maryland",-41.92,"24","013"
"Cecil County, Maryland",-41.42,"24","015"
"Charles County, Maryland",-53.36,"24","017"
"Dorchester County, Maryland",-45.08,"24","019"
"Frederick County, Maryland",-50.64,"24","021"
"Garrett County, Maryland",-47.87,"24","023"
"Harford County, Maryland",-55.22,"24","025"
"Howard County, Maryland",-61.4,"24","027"
"Kent County, Maryland",-54.96,"24","029"
"Montgomery County, Maryland",-51.47,"24","031"
"Prince George's County, Maryland",-51.47,"24","033"
"Queen Anne's County, Maryland",-58.07,"24","035"
"Saint Mary's County, Maryland",-45.03,"24","037"
"Somerset County, Maryland",-42.13,"24","039"
"Talbot County, Maryland",-57.12,"24","041"
"Washington County, Maryland",-45.35,"24","043"
"Wicomico County, Maryland",-43.03,"24","045"
"Worcester County, Maryland",-58.07,"24","047"
"Barnstable County, Massachusetts",-47.61,"25","001"
"Berkshire County, Massachusetts",-52.5,"25","003"
"Bristol County, Massachusetts",-51.78,"25","005"
"Dukes County, Massachusetts",-55.94,"25","007"
"Essex County, Massachusetts",-56.64,"25","009"
"Franklin County, Massachusetts",-52.73,"25","011"
"Hampden County, Massachusetts",-53.53,"25","013"
"Hampshire County, Massachusetts",-52.93,"25","015"
"Middlesex County, Massachusetts",-57.7,"25","017"
"Nantucket County, Massachusetts",-50.1,"25","019"
"Norfolk County, Massachusetts",-55.25,"25","021"
"Plymouth County, Massachusetts",-52.29,"25","023"
"Suffolk County, Massachusetts",-60.75,"25","025"
"Worcester County, Massachusetts",-53.04,"25","027"
"Alcona County, Michigan",-48.5,"26","001"
"Alger County, Michigan",-62.03,"26","003"
"Allegan County, Michigan",-48.59,"26","005"
"Alpena County, Michigan",-47.01,"26","007"
"Antrim County, Michigan",-61.7,"26","009"
"Arenac County, Michigan",-46.78,"26","011"
"Baraga County, Michigan",-47.75,"26","013"
"Barry County, Michigan",-44.02,"26","015"
"Bay County, Michigan",-45.04,"26","017"
"Benzie County, Michigan",-58.14,"26","019"
"Berrien County, Michigan",-46.02,"26","021"
"Branch County, Michigan",-46.71,"26","023"
"Calhoun County, Michigan",-45.41,"26","025"
"Cass County, Michigan",-49.68,"26","027"
"Charlevoix County, Michigan",-57.69,"26","029"
"Cheboygan County, Michigan",-51.95,"26","031"
"Chippewa County, Michigan",-50.53,"26","033"
"Clare County, Michigan",-44.29,"26","035"
"Clinton County, Michigan",-50.11,"26","037"
"Crawford County, Michigan",-51.24,"26","039"
"Delta County, Michigan",-51.98,"26","041"
"Dickinson County, Michigan",-43.6,"26","043"
"Eaton County, Michigan",-44.82,"26","045"
"Emmet County, Michigan",-51.43,"26","047"
"Genesee County, Michigan",-42.96,"26","049"
"Gladwin County, Michigan",-48.75,"26","051"
"Gogebic County, Michigan",-39.5,"26","053"
"Grand Traverse County, Michigan",-56.05,"26","055"
"Gratiot County, Michigan",-44.04,"26","057"
"Hillsdale County, Michigan",-35.7,"26","059"
"Houghton County, Michigan",-46.91,"26","061"
"Huron County, Michigan",-42.51,"26","063"
"Ingham County, Michigan",-39.6,"26","065"
"Ionia County, Michigan",-45.74,"26","067"
"Iosco County, Michigan",-46.39,"26","069"
"Iron County, Michigan",-39.34,"26","071"
"Isabella County, Michigan",-49.71,"26","073"
"Jackson County, Michigan",-48.29,"26","075"
"Kalamazoo County, Michigan",-47.75,"26","077"
"Kalkaska County, Michigan",-47.72,"26","079"
"Kent County, Michigan",-49.87,"26","081"
"Keweenaw County, Michigan",-64.91,"26","083"
"Lake County, Michigan",-50.23,"26","085"
"Lapeer County, Michigan",-50.59,"26","087"
"Leelanau County, Michigan",-66.96,"26","089"
"Lenawee County, Michigan",-43.17,"26","091"
"Livingston County, Michigan",-52.42,"26","093"
"Luce County, Michigan",-56.19,"26","095"
"Mackinac County, Michigan",-54.72,"26","097"
"Macomb County, Michigan",-46.48,"26","099"
"Manistee County, Michigan",-54.22,"26","101"
"Marquette County, Michigan",-48.45,"26","103"
"Mason County, Michigan",-50.36,"26","105"
"Mecosta County, Michigan",-44.86,"26","107"
"Menominee County, Michigan",-52.25,"26","109"
"Midland County, Michigan",-52.99,"26","111"
"Missaukee County, Michigan",-49.2,"26","113"
"Monroe County, Michigan",-45.89,"26","115"
"Montcalm County, Michigan",-43.46,"26","117"
"Montmorency County, Michigan",-45.34,"26","119"
"Muskegon County, Michigan",-49.28,"26","121"
"Newaygo County, Michigan",-50.55,"26","123"
"Oakland County, Michigan",-47.4,"26","125"
"Oceana County, Michigan",-50.43,"26","127"
"Ogemaw County, Michigan",-44.17,"26","129"
"Ontonagon County, Michigan",-46.53,"26","131"
"Osceola County, Michigan",-46.98,"26","133"
"Oscoda County, Michigan",-43.84,"26","135"
"Otsego County, Michigan",-57.43,"26","137"
"Ottawa County, Michigan",-52.36,"26","139"
"Presque Isle County, Michigan",-55.72,"26","141"
"Roscommon County, Michigan",-43.52,"26","143"
"Saginaw County, Michigan",-49.4,"26","145"
"Saint Clair County, Michigan",-41.66,"26","147"
"Saint Joseph County, Michigan",-35.79,"26","149"
"Sanilac County, Michigan",-48.23,"26","151"
"Schoolcraft County, Michigan",-53.98,"26","153"
"Shiawassee County, Michigan",-45.48,"26","155"
"Tuscola County, Michigan",-48.71,"26","157"
"Van Buren County, Michigan",-45.23,"26","159"
"Washtenaw County, Michigan",-51.64,"26","161"
"Wayne County, Michigan",-40.25,"26","163"
"Wexford County, Michigan",-49.95,"26","165"
"Aitkin County, Minnesota",-59.61,"27","001"
"Anoka County, Minnesota",-65.06,"27","003"
"Becker County, Minnesota",-49.94,"27","005"
"Beltrami County, Minnesota",-53.97,"27","007"
"Benton County, Minnesota",-51.26,"27","009"
"Big Stone County, Minnesota",-42.58,"27","011"
"Blue Earth County, Minnesota",-54.54,"27","013"
"Brown County, Minnesota",-52.4,"27","015"
"Carlton County, Minnesota",-47.1,"27","017"
"Carver County, Minnesota",-64.34,"27","019"
"Cass County, Minnesota",-54.75,"27","021"
"Chippewa County, Minnesota",-49.53,"27","023"
"Chisago County, Minnesota",-58.75,"27","025"
"Clay County, Minnesota",-48.65,"27","027"
"Clearwater County, Minnesota",-39.73,"27","029"
"Cook County, Minnesota",-64.61,"27","031"
"Cottonwood County, Minnesota",-45.97,"27","033"
"Crow Wing County, Minnesota",-58.42,"27","035"
"Dakota County, Minnesota",-61.37,"27","037"
"Dodge County, Minnesota",-47.86,"27","039"
"Douglas County, Minnesota",-48.91,"27","041"
"Faribault County, Minnesota",-46.37,"27","043"
"Fillmore County, Minnesota",-48.83,"27","045"
"Freeborn County, Minnesota",-46.08,"27","047"
"Goodhue County, Minnesota",-48.93,"27","049"
"Grant County, Minnesota",-42.41,"27","051"
"Hennepin County, Minnesota",-57.78,"27","053"
"Houston County, Minnesota",-57.87,"27","055"
"Hubbard County, Minnesota",-59.73,"27","057"
"Isanti County, Minnesota",-55.65,"27","059"
"Itasca County, Minnesota",-52.28,"27","061"
"Jackson County, Minnesota",-45.6,"27","063"
"Kanabec County, Minnesota",-56.57,"27","065"
"Kandiyohi County, Minnesota",-48.67,"27","067"
"Kittson County, Minnesota",-43.63,"27","069"
"Koochiching County, Minnesota",-58.78,"27","071"
"Lac qui Parle County, Minnesota",-54.72,"27","073"
"Lake County, Minnesota",-56.56,"27","075"
"Lake of the Woods County, Minnesota",-56.67,"27","077"
"Le Sueur County, Minnesota",-52.93,"27","079"
"Lincoln County, Minnesota",-46.69,"27","081"
"Lyon County, Minnesota",-51.39,"27","083"
"Mahnomen County, Minnesota",-49.94,"27","087"
"Marshall County, Minnesota",-59.62,"27","089"
"Martin County, Minnesota",-43.82,"27","091"
"McLeod County, Minnesota",-52.02,"27","085"
"Meeker County, Minnesota",-54.56,"27","093"
"Mille Lacs County, Minnesota",-48.86,"27","095"
"Morrison County, Minnesota",-52.28,"27","097"
"Mower County, Minnesota",-51.22,"27","099"
"Murray County, Minnesota",-51.34,"27","101"
"Nicollet County, Minnesota",-53.64,"27","103"
"Nobles County, Minnesota",-44.94,"27","105"
"Norman County, Minnesota",-52.03,"27","107"
"Olmsted County, Minnesota",-51.62,"27","109"
"Otter Tail County, Minnesota",-46.88,"27","111"
"Pennington County, Minnesota",-51.35,"27","113"
"Pine County, Minnesota",-55.82,"27","115"
"Pipestone County, Minnesota",-50.36,"27","117"
"Polk County, Minnesota",-48.91,"27","119"
"Pope County, Minnesota",-41.95,"27","121"
"Ramsey County, Minnesota",-55.49,"27","123"
"Red Lake County, Minnesota",-45.25,"27","125"
"Redwood County, Minnesota",-50.89,"27","127"
"Renville County, Minnesota",-46.85,"27","129"
"Rice County, Minnesota",-55.21,"27","131"
"Rock County, Minnesota",-33.06,"27","133"
"Roseau County, Minnesota",-54.7,"27","135"
"Saint Louis County, Minnesota",-55.98,"27","137"
"Scott County, Minnesota",-59.64,"27","139"
"Sherburne County, Minnesota",-66.13,"27","141"
"Sibley County, Minnesota",-43.44,"27","143"
"Stearns County, Minnesota",-56.17,"27","145"
"Steele County, Minnesota",-51.7,"27","147"
"Stevens County, Minnesota",-55.34,"27","149"
"Swift County, Minnesota",-49.15,"27","151"
"Todd County, Minnesota",-53.47,"27","153"
"Traverse County, Minnesota",-43.23,"27","155"
"Wabasha County, Minnesota",-54.07,"27","157"
"Wadena County, Minnesota",-50.23,"27","159"
"Waseca County, Minnesota",-47.7,"27","161"
"Washington County, Minnesota",-62.93,"27","163"
"Watonwan County, Minnesota",-50.03,"27","165"
"Wilkin County, Minnesota",-24.41,"27","167"
"Winona County, Minnesota",-47.85,"27","169"
"Wright County, Minnesota",-59.37,"27","171"
"Yellow Medicine County, Minnesota",-50.15,"27","173"
"Adams County, Mississippi",-43.76,"28","001"
"Alcorn County, Mississippi",-20.01,"28","003"
"Amite County, Mississippi",-41.36,"28","005"
"Attala County, Mississippi",-31.97,"28","007"
"Benton County, Mississippi",-19.91,"28","009"
"Bolivar County, Mississippi",-36.4,"28","011"
"Calhoun County, Mississippi",-24.16,"28","013"
"Carroll County, Mississippi",-33.66,"28","015"
"Chickasaw County, Mississippi",-42.88,"28","017"
"Choctaw County, Mississippi",-41.71,"28","019"
"Claiborne County, Mississippi",-19.78,"28","021"
"Clarke County, Mississippi",-37.33,"28","023"
"Clay County, Mississippi",-37.03,"28","025"
"Coahoma County, Mississippi",-36.46,"28","027"
"Copiah County, Mississippi",-38.09,"28","029"
"Covington County, Mississippi",-28.44,"28","031"
"DeSoto County, Mississippi",-49.14,"28","033"
"Forrest County, Mississippi",-45.46,"28","035"
"Franklin County, Mississippi",-29.79,"28","037"
"George County, Mississippi",-33.1,"28","039"
"Greene County, Mississippi",-38.72,"28","041"
"Grenada County, Mississippi",-41.01,"28","043"
"Hancock County, Mississippi",-48.53,"28","045"
"Harrison County, Mississippi",-36.08,"28","047"
"Hinds County, Mississippi",-38.54,"28","049"
"Holmes County, Mississippi",-25.6,"28","051"
"Humphreys County, Mississippi",-35.12,"28","053"
"Issaquena County, Mississippi",-40.32,"28","055"
"Itawamba County, Mississippi",-29.77,"28","057"
"Jackson County, Mississippi",-37.93,"28","059"
"Jasper County, Mississippi",-28.18,"28","061"
"Jefferson County, Mississippi",-30.07,"28","063"
"Jefferson Davis County, Mississippi",-33.34,"28","065"
"Jones County, Mississippi",-39.38,"28","067"
"Kemper County, Mississippi",-38.29,"28","069"
"Lafayette County, Mississippi",-36.65,"28","071"
"Lamar County, Mississippi",-44.26,"28","073"
"Lauderdale County, Mississippi",-43.12,"28","075"
"Lawrence County, Mississippi",-31.07,"28","077"
"Leake County, Mississippi",-32.14,"28","079"
"Lee County, Mississippi",-42.85,"28","081"
"Leflore County, Mississippi",-32.28,"28","083"
"Lincoln County, Mississippi",-37.07,"28","085"
"Lowndes County, Mississippi",-44.77,"28","087"
"Madison County, Mississippi",-32.3,"28","089"
"Marion County, Mississippi",-33.21,"28","091"
"Marshall County, Mississippi",-32.02,"28","093"
"Monroe County, Mississippi",-47.45,"28","095"
"Montgomery County, Mississippi",-37.46,"28","097"
"Neshoba County, Mississippi",-20.49,"28","099"
"Newton County, Mississippi",-34.26,"28","101"
"Noxubee County, Mississippi",-37.04,"28","103"
"Oktibbeha County, Mississippi",-48.73,"28","105"
"Panola County, Mississippi",-28.9,"28","107"
"Pearl River County, Mississippi",-44.03,"28","109"
"Perry County, Mississippi",-39.28,"28","111"
"Pike County, Mississippi",-43.55,"28","113"
"Pontotoc County, Mississippi",-47.95,"28","115"
"Prentiss County, Mississippi",-38.51,"28","117"
"Quitman County, Mississippi",-32.29,"28","119"
"Rankin County, Mississippi",-50.01,"28","121"
"Scott County, Mississippi",-42.06,"28","123"
"Sharkey County, Mississippi",-45.51,"28","125"
"Simpson County, Mississippi",-33.21,"28","127"
"Smith County, Mississippi",-32.21,"28","129"
"Stone County, Mississippi",-45.56,"28","131"
"Sunflower County, Mississippi",-34.5,"28","133"
"Tallahatchie County, Mississippi",-49.32,"28","135"
"Tate County, Mississippi",-32.37,"28","137"
"Tippah County, Mississippi",-23.97,"28","139"
"Tishomingo County, Mississippi",-20.59,"28","141"
"Tunica County, Mississippi",-27.52,"28","143"
"Union County, Mississippi",-32.07,"28","145"
"Walthall County, Mississippi",-39.64,"28","147"
"Warren County, Mississippi",-27.17,"28","149"
"Washington County, Mississippi",-43.56,"28","151"
"Wayne County, Mississippi",-35.71,"28","153"
"Webster County, Mississippi",-11.27,"28","155"
"Wilkinson County, Mississippi",-37.95,"28","157"
"Winston County, Mississippi",-41.96,"28","159"
"Yalobusha County, Mississippi",-29.58,"28","161"
"Yazoo County, Mississippi",-44.03,"28","163"
"Adair County, Missouri",-42.58,"29","001"
"Andrew County, Missouri",-37.33,"29","003"
"Atchison County, Missouri",-45.83,"29","005"
"Audrain County, Missouri",-36.95,"29","007"
"Barry County, Missouri",-28.83,"29","009"
"Barton County, Missouri",-43.8,"29","011"
"Bates County, Missouri",-39.5,"29","013"
"Benton County, Missouri",-42.79,"29","015"
"Bollinger County, Missouri",-37.01,"29","017"
"Boone County, Missouri",-42.93,"29","019"
"Buchanan County, Missouri",-39.73,"29","021"
"Butler County, Missouri",-39.97,"29","023"
"Caldwell County, Missouri",-44.08,"29","025"
"Callaway County, Missouri",-36.12,"29","027"
"Camden County, Missouri",-38.67,"29","029"
"Cape Girardeau County, Missouri",-38.16,"29","031"
"Carroll County, Missouri",-29.4,"29","033"
"Carter County, Missouri",-32.87,"29","035"
"Cass County, Missouri",-49.65,"29","037"
"Cedar County, Missouri",-34.9,"29","039"
"Chariton County, Missouri",-41.07,"29","041"
"Christian County, Missouri",-42.45,"29","043"
"Clark County, Missouri",-39.75,"29","045"
"Clay County, Missouri",-54.67,"29","047"
"Clinton County, Missouri",-42.77,"29","049"
"Cole County, Missouri",-43.41,"29","051"
"Cooper County, Missouri",-31.51,"29","053"
"Crawford County, Missouri",-16.83,"29","055"
"Dade County, Missouri",-37.02,"29","057"
"Dallas County, Missouri",-41.96,"29","059"
"Daviess County, Missouri",-37.42,"29","061"
"DeKalb County, Missouri",-39.22,"29","063"
"Dent County, Missouri",-31.27,"29","065"
"Douglas County, Missouri",-39.33,"29","067"
"Dunklin County, Missouri",-23.31,"29","069"
"Franklin County, Missouri",-43.88,"29","071"
"Gasconade County, Missouri",-35.61,"29","073"
"Gentry County, Missouri",-35.42,"29","075"
"Greene County, Missouri",-38.83,"29","077"
"Grundy County, Missouri",-41.77,"29","079"
"Harrison County, Missouri",-37.14,"29","081"
"Henry County, Missouri",-34.47,"29","083"
"Hickory County, Missouri",-36.42,"29","085"
"Holt County, Missouri",-46.08,"29","087"
"Howard County, Missouri",-34.45,"29","089"
"Howell County, Missouri",-34.95,"29","091"
"Iron County, Missouri",-18.08,"29","093"
"Jackson County, Missouri",-48.63,"29","095"
"Jasper County, Missouri",-30.45,"29","097"
"Jefferson County, Missouri",-35.53,"29","099"
"Johnson County, Missouri",-35.29,"29","101"
"Knox County, Missouri",-38.59,"29","103"
"Laclede County, Missouri",-28.51,"29","105"
"Lafayette County, Missouri",-37.54,"29","107"
"Lawrence County, Missouri",-36.35,"29","109"
"Lewis County, Missouri",-29.38,"29","111"
"Lincoln County, Missouri",-42.54,"29","113"
"Linn County, Missouri",-34.68,"29","115"
"Livingston County, Missouri",-33.32,"29","117"
"Macon County, Missouri",-34.56,"29","121"
"Madison County, Missouri",-32.44,"29","123"
"Maries County, Missouri",-34.08,"29","125"
"Marion County, Missouri",-33.58,"29","127"
"McDonald County, Missouri",-35.82,"29","119"
"Mercer County, Missouri",-42.73,"29","129"
"Miller County, Missouri",-30.01,"29","131"
"Mississippi County, Missouri",-29.05,"29","133"
"Moniteau County, Missouri",-42.25,"29","135"
"Monroe County, Missouri",-34.68,"29","137"
"Montgomery County, Missouri",-35.68,"29","139"
"Morgan County, Missouri",-29.55,"29","141"
"New Madrid County, Missouri",-30.38,"29","143"
"Newton County, Missouri",-31.91,"29","145"
"Nodaway County, Missouri",-39.91,"29","147"
"Oregon County, Missouri",-32.85,"29","149"
"Osage County, Missouri",-41.28,"29","151"
"Ozark County, Missouri",-31.7,"29","153"
"Pemiscot County, Missouri",-27.95,"29","155"
"Perry County, Missouri",-41.4,"29","157"
"Pettis County, Missouri",-47.55,"29","159"
"Phelps County, Missouri",-42.33,"29","161"
"Pike County, Missouri",-38.05,"29","163"
"Platte County, Missouri",-54.11,"29","165"
"Polk County, Missouri",-40.54,"29","167"
"Pulaski County, Missouri",-34.08,"29","169"
"Putnam County, Missouri",-45.92,"29","171"
"Ralls County, Missouri",-46.81,"29","173"
"Randolph County, Missouri",-29.64,"29","175"
"Ray County, Missouri",-37.64,"29","177"
"Reynolds County, Missouri",-38.24,"29","179"
"Ripley County, Missouri",-28.35,"29","181"
"Saint Charles County, Missouri",-55.27,"29","183"
"Saint Clair County, Missouri",-31.83,"29","185"
"Saint Francois County, Missouri",-35.43,"29","187"
"Saint Louis City, Missouri",-46.55,"29","510"
"Saint Louis County, Missouri",-45.67,"29","189"
"Sainte Genevieve County, Missouri",-35.12,"29","186"
"Saline County, Missouri",-34.89,"29","195"
"Schuyler County, Missouri",-49.54,"29","197"
"Scotland County, Missouri",-47.95,"29","199"
"Scott County, Missouri",-42.59,"29","201"
"Shannon County, Missouri",-36.1,"29","203"
"Shelby County, Missouri",-25.15,"29","205"
"Stoddard County, Missouri",-46.73,"29","207"
"Stone County, Missouri",-35.71,"29","209"
"Sullivan County, Missouri",-40.08,"29","211"
"Taney County, Missouri",-35.67,"29","213"
"Texas County, Missouri",-38.91,"29","215"
"Vernon County, Missouri",-26.88,"29","217"
"Warren County, Missouri",-48.14,"29","219"
"Washington County, Missouri",-19.34,"29","221"
"Wayne County, Missouri",-39.15,"29","223"
"Webster County, Missouri",-38.95,"29","225"
"Worth County, Missouri",-41.91,"29","227"
"Wright County, Missouri",-26.94,"29","229"
"Beaverhead County, Montana",-56.61,"30","001"
"Big Horn County, Montana",-42.1,"30","003"
"Blaine County, Montana",-43.96,"30","005"
"Broadwater County, Montana",-50.04,"30","007"
"Carbon County, Montana",-54.86,"30","009"
"Carter County, Montana",-47.35,"30","011"
"Cascade County, Montana",-50.96,"30","013"
"Chouteau County, Montana",-46.4,"30","015"
"Custer County, Montana",-48.3,"30","017"
"Daniels County, Montana",-53.33,"30","019"
"Dawson County, Montana",-42.15,"30","021"
"Deer Lodge County, Montana",-53.91,"30","023"
"Fallon County, Montana",-48.61,"30","025"
"Fergus County, Montana",-45.16,"30","027"
"Flathead County, Montana",-41.1,"30","029"
"Gallatin County, Montana",-49.32,"30","031"
"Garfield County, Montana",-51.17,"30","033"
"Glacier County, Montana",-34.62,"30","035"
"Golden Valley County, Montana",-50.94,"30","037"
"Granite County, Montana",-57.29,"30","039"
"Hill County, Montana",-32.27,"30","041"
"Jefferson County, Montana",-51.82,"30","043"
"Judith Basin County, Montana",-49.63,"30","045"
"Lake County, Montana",-48.05,"30","047"
"Lewis and Clark County, Montana",-48.41,"30","049"
"Liberty County, Montana",-57.65,"30","051"
"Lincoln County, Montana",-42.2,"30","053"
"Madison County, Montana",-55.06,"30","057"
"McCone County, Montana",-44.4,"30","055"
"Meagher County, Montana",-48.5,"30","059"
"Mineral County, Montana",-47.52,"30","061"
"Missoula County, Montana",-42.4,"30","063"
"Musselshell County, Montana",-31.83,"30","065"
"Park County, Montana",-56.91,"30","067"
"Petroleum County, Montana",-55.84,"30","069"
"Phillips County, Montana",-52.55,"30","071"
"Pondera County, Montana",-48.17,"30","073"
"Powder River County, Montana",-45.2,"30","075"
"Powell County, Montana",-48.19,"30","077"
"Prairie County, Montana",-44.97,"30","079"
"Ravalli County, Montana",-51.19,"30","081"
"Richland County, Montana",-38.47,"30","083"
"Roosevelt County, Montana",-29.1,"30","085"
"Rosebud County, Montana",-43.73,"30","087"
"Sanders County, Montana",-42.11,"30","089"
"Sheridan County, Montana",-31.66,"30","091"
"Silver Bow County, Montana",-45.07,"30","093"
"Stillwater County, Montana",-47.2,"30","095"
"Sweet Grass County, Montana",-51.68,"30","097"
"Teton County, Montana",-44.52,"30","099"
"Toole County, Montana",-37.9,"30","101"
"Treasure County, Montana",-42.55,"30","103"
"Valley County, Montana",-46.65,"30","105"
"Wheatland County, Montana",-44.44,"30","107"
"Wibaux County, Montana",-48.89,"30","109"
